---------- LEXICON ----------
achava-o - 1
achavam - 1
achavam-me - 1
ache - 1
achei - 30
achei-as - 1
achei-lhe - 4
achei-me - 1
achei-o - 3
achei-os - 1
aches - 1
achilles - 2
acho - 12
achou - 16
achou-a - 1
acima - 2
aço - 1
acocorou-se - 1
acode - 1
acóde-me - 2
acodem - 2
acompanhado - 2
acompanhal-o - 1
acompanhal-o-hia - 1
acompanham - 1
acompanhando - 1
acompanhar - 4
acompanhara - 1
acompanhava - 2
acompanhei-os - 1
acompanhou-me - 1
aconselhados - 1
aconselhou - 2
aconteça - 1
acontecer - 1
aconteceu - 1
acontecia - 3
acontecido - 1
acontecimento - 1
acontecimentos - 3
acostumada - 1
acostumado - 3
acostumados - 1
acostumando - 2
acostumar - 1
acostumar-se - 1
acostumara-me - 1
acostumaria - 1
acostumasse - 1
acredita - 1
acreditam - 1
acredite - 1
active - 2
activo - 1
acto - 9
actor - 2
actos - 5
actriz - 1
actual - 1
acudi - 5
acudia - 1
acudiamos - 1
acudido - 1
acudir - 3
acudiram - 5
acudiram-me - 1
acudisse - 2
acudissem - 1
acudiu - 10
adagio - 3
adão - 1
addition - 1
additional - 3
additions - 1
address - 1
addresses - 1
adeante - 7
adeantemos - 1
adeantou-lhe - 1
adequada - 2
adequadas - 2
adequado - 1
adereço - 1
adeus - 6
adeuses - 1
adiadas - 1
adiando - 1
adiante - 1
adiar - 2
adiava - 1
adiemos - 2
adivinhado - 2
adivinhai - 1
adivinham - 1
adivinhando - 3
adivinhar - 1
adivinhassem - 1
adivinhavam - 1
adivinhavam-se - 1
adivinhei - 1
administração - 5
administrador - 7
administrativa - 1
administrava - 1
admira - 3
admiração - 6
admirar - 1
admirava-se - 1
admiraveis - 1
admire - 1
admitisse - 1
admitte - 1
admitte-se - 1
admitti-me - 1
adoçar - 1
adoecesse - 1
adoeciam - 2
adoecido - 1
adolescencia - 5
adolescente - 3
adolescentes - 3
adoptar - 1
adorava - 1
adoravel - 4
adornar - 1
adorno - 1
adornos - 1
adquiriu - 1
adro - 1
adulação - 2
aduladores - 1
adversa - 1
adversario - 1
adverso - 1
adverti - 3
advertindo - 1
advertir - 1
advogado - 6
afagou-me - 1
afastaram-se - 1
afastassem - 1
affagára - 1
affagou-me - 1
affectação - 2
affecto - 2
affectos - 1
affectuosas - 3
affeição - 5
affeiçoando - 1
affeiçoando-me - 1
affeições - 2
affiançar - 1
affirma - 1
affirmação - 2
affirmações - 1
affirmar - 1
affirmativamente - 1
affirmava - 2
affirmo - 1
affirmou - 2
afflicção - 6
afflicta - 1
afflicto - 2
afflictos - 1
afflige - 1
affligia - 2
affligiam - 1
affligiamos - 1
affligir - 2
affligir-me - 1
affligira - 1
affligiu-me - 1
affligiu-se - 1
afflijo - 1
affluencia - 1
affrontar - 1
afiliação - 1
afim - 5
afinadas - 1
afinal - 18
afrancezado - 2
afrouxar - 2
afugental-as - 1
against - 1
agarrado - 1
agarrar - 2
agarrei-me - 3
agarrou-me - 1
agarrou-se - 1
agastada - 1
ageis - 1
agent - 1
aggrava - 1
aggravando - 1
aggravar - 1
aggravára - 1
aggravou - 2
aggregado - 30
agitações - 1
agitado - 1
agitava-se - 1
agonia - 1
agoniada - 1
agoniado - 1
agora - 146
agostinho - 1
agouro - 1
agradado - 1
agradar - 2
agradassem - 1
agradaveis - 1
agradecer - 1
agradecer-me - 1
agradeceram - 1
agradeceu - 4
agradeceu-lhe - 1
agradeci - 2
agradecida - 1
agradecidos - 1
agradecimento - 2
agradecimentos - 2
agradeço - 1
agradeço-vos - 1
agrado - 2
agradou-me - 1
agree - 9
agreed - 1
agreement - 18
agua - 6
aguardei - 1
aguas - 3
agudeza - 1
agudezas - 1
aguenta - 2
aguente - 1
aguerril-o - 1
agulha - 2
ah - 9
ahi - 19
ainda - 140
ajoelhavam - 2
ajoelhei-me - 1
ajudal-o - 1
ajudal-os - 1
ajudar - 2
ajudava - 2
ajuntamento - 1
ajuntar - 1
ajusta - 1
ajustado - 1
ajustam - 1
ajustando-se - 1
ajuste - 2
alargando - 1
alarido - 1
alazão - 1
albores - 1
album - 1
albuquerque - 1
albuquerques - 1
alçada - 2
alcançado - 1
alcançar - 3
alcançava - 1
alcançavam - 2
alcancei - 2
alcanço - 2
alcançou - 2
alçapões - 1
alcova - 5
alcovas - 1
alcunha - 2
alcunhando-me - 1
alegra - 1
alegral-a - 1
alegre - 7
alegres - 3
alegria - 14
alegrou - 1
além - 8
alembra - 1
alencar - 1
alevantado - 1
alexandre - 1
alfaias - 1
algarismos - 7
algo - 4
alguem - 18
algum - 56
alguma - 72
algumas - 37
alguns - 64
alheia - 2
alheias - 6
alheio - 1
ali - 1
alia - 1
aliás - 5
alisal-os - 1
alisar - 1
alisou - 1
aliviasse - 1
aljube - 2
all - 17
allegações - 2
allegar - 1
allegava - 1
allegou - 1
alli - 35
alliados - 5
alliança - 1
alliar - 1
alliviada - 1
allivio - 2
allopatha - 2
allopathia - 3
allopathicas - 1
allow - 1
allucinações - 1
allucinado - 1
alludir - 1
allumia - 1
allusão - 2
alma - 39
almanaks - 1
almas - 1
almirante - 1
almoçando - 1
almoçar - 3
almocei - 1
almoço - 7
almoços - 1
almofada - 1
almost - 2
alone - 1
alongar - 1
alpendres - 1
alphabeto - 2
already - 1
also - 2
alta - 7
altar - 7
altares - 1
altas - 1
altenção - 1
alteração - 1
alterações - 1
alterando - 1
alterar - 2
alteraram - 1
alterasse - 1
alteration - 1
alteravamos - 1
alternando - 2
alternate - 1
alternativamente - 1
alternava - 1
altitude - 2
altitudes - 1
alto - 16
altos - 2
altura - 4
alturas - 1
alugadas - 2
alugados - 1
alugara - 1
alugasse - 1
alugou - 1
alugueis - 6
alumiada - 1
alumiou - 1
alva - 2
alvares - 1
alvitre - 4
alvoroçado - 1
alvoroçara-me - 1
alvoroço - 7
ama - 2
amada - 3
amado - 2
amador - 1
amadores - 1
amai - 5
amam - 2
amamentação - 1
amamos - 1
amanhã - 21
amanheceu - 3
amantissima - 2
amantissimo - 2
amar - 5
amarella - 1
amarelladas - 1
amarellas - 3
amarello - 2
amargamente - 1
amargo - 2
amarguras - 1
amarissimo - 4
amava - 5
amava-me - 1
ambas - 5
ambição - 3
ambições - 1
ambos - 17
ameaça - 5
ameaçando - 1
ameaçar - 1
ameaças - 1
ameaçava - 1
ameacei - 1
amei - 1
america - 1
americanas - 1
americanos - 1
amiga - 26
amigas - 5
amigo - 44
amigos - 22
amiguinha - 1
amiguinho - 1
amizade - 15
amizades - 2
amo - 2
amofina - 1
amofinal-a - 1
amontoavam - 1
amor - 20
amores - 5
amorosa - 1
amorosas - 2
amou - 1
amparal-a - 1
amparando - 1
amparar-me - 1
amuada - 1
amuado - 2
an - 7
analogo - 2
analyse - 2
anatomia - 1
anceio - 1
ancianidade - 1
ancias - 1
anciava - 2
ancioso - 3
anciosos - 1
and - 66
anda - 11
andaço - 1
andado - 2
andam - 2
andando - 15
andar - 19
andára - 1
andarahy - 6
andaram - 1
andaria - 2
andarilhas - 1
andasse - 2
andassem - 2
andava - 12
andavam - 4
andavamos - 1
ande - 8
andei - 4
ando - 3
andorinhas - 6
andou - 1
anecdota - 3
anecdotas - 1
anel - 1
anglo-franceza - 1
angustia - 1
animação - 2
animado - 1
animaes - 1
animal-a - 2
animando - 1
animar-me - 1
animava - 1
animo - 5
animou-me - 4
anjissimo - 1
anjo - 13
anjos - 5
anniquilação - 1
anno - 29
annos - 73
annuncia - 1
annunciado - 2
annunciava-me - 1
annunciou - 1
annunciou-me - 1
anonyma - 1
anonymo - 1
ante-pé - 1
antecipadamente - 1
antecipado - 1
antepôl-o - 1
anterior - 9
anteriores - 3
antes - 87
anti-russa - 1
antiga - 15
antigas - 8
antigo - 9
antigos - 5
antiguidade - 1
antonio - 3
anuo - 1
any - 37
anyone - 5
anything - 2
anywhere - 2
ao - 374
aonde - 2
aos - 89
apagado - 1
apagam-se - 1
apagar - 2
apagou - 4
apaixonadamente - 1
apaixonar-se - 1
apalpa - 1
apalpar-me - 1
apalpava-lhe - 1
apalpava-me - 1
apalpei - 2
apalpei-lhe - 1
apanhado - 2
apanhados - 2
apanhar - 5
apanhara - 1
apanhára - 1
apanhava - 1
apanhou - 2
aparentado - 1
apavorado - 1
apear-nos - 1
apeava-se - 1
apenas - 25
apeou-me - 1
apertada - 2
apertadas - 1
apertado - 2
apertal-a - 1
apertal-o - 1
apertal-os - 1
apertando - 3
apertando-se - 1
apertar - 5
apertar-lhe - 1
apertar-se - 1
apertava - 1
apertava-me - 1
apertavam - 1
apertei - 1
apertei-a - 1
aperto - 1
apertou - 3
apertou-me - 3
apesar - 20
apezar - 5
aphorismo - 1
aphorismos - 1
apoiando - 1
apoio - 2
apoiou - 1
apolice - 2
apolices - 1
apologias - 1
aponta - 1
apontada - 1
apontando - 3
apontar - 1
apontei - 1
apontou - 1
apontou-as - 1
após - 9
aposentados - 1
aposentára-se - 1
aposentou - 1
aposlolicos - 1
aposta - 1
apostolado - 1
apostolico - 11
apostolo - 2
apostolos - 3
appareçam - 1
apparece-me - 1
apparecem - 1
apparecer - 2
apparecera - 1
appareceu - 4
apparecia - 3
apparecia-me - 1
appareco - 1
apparencia - 3
apparente - 1
apparentemente - 2
appear - 1
appearing - 1
appears - 1
appellido - 1
appetecivel - 1
applaudiu - 1
applauso - 1
applausos - 1
applicable - 3
applicar-lhe - 1
applique - 1
apply - 1
apprende - 2
apprendem - 1
apprender - 7
apprendera - 1
apprenderia - 2
apprendeu - 5
approach - 1
approva - 1
approvação - 3
approvado - 1
approvando - 1
approvar - 1
approvasse - 1
approvava - 1
approvo - 1
approximação - 1
approximava - 1
approximei-me - 1
approximou-se - 1
aprazia - 1
apreciam - 1
apreciavel - 1
apreço - 1
apregoando - 1
apresentado - 1
apresentaram - 1
apressada - 1
apressado - 1
apressal-a - 1
aprimorada - 1
apropriada - 1
aproveitaria - 1
aproveitei - 2
aproveitou - 2
apurando - 1
aquarella - 1
aquella - 35
áquella - 1
aquellas - 3
aquelle - 21
áquelle - 2
aquelles - 6
aqui - 87
aquietou-se - 1
aquillo - 8
ar - 27
arame - 1
arbusto - 1
archanjo - 3
archeologia - 1
archeologias - 1
archi-millionario - 1
architecto - 1
archive - 13
arco - 2
arcos - 1
ardente - 1
ardia - 1
ardiam - 1
ardor - 2
are - 23
área - 2
ares - 5
argolas - 1
argolinha - 1
argumentação - 1
argumentos - 2
aria - 1
arido - 1
ariosto - 1
arise - 1
arithmetica - 1
arithmeticas - 5
armando - 1
armas - 2
armazem - 3
aro - 1
aroeira - 1
aroma - 2
arquearam-se - 1
arrabalde - 1
arrancal-a - 1
arrancando - 1
arrancar-se - 1
arranhado - 1
arranhados - 1
arranjado - 1
arranjar - 2
arranjava-se - 1
arranjavamos - 2
arranjos - 1
arranjou - 1
arranjou-me - 1
arranquei - 1
arrastado - 2
arrastava - 1
array - 1
arrebaldes - 1
arredado - 1
arredei - 1
arredia - 1
arredondavam-se - 1
arregalados - 1
arregalar - 1
arrenegar - 2
arrependi-me - 2
arrependia - 1
arrependida - 1
arrependido - 1
arrependimento - 3
arrepiar - 1
arrepios - 1
arriscou-se - 1
arrufámos - 1
arte - 10
articulou - 1
artificialmente - 1
artigo - 1
artilharia - 1
artinha - 1
artista - 2
arvorecer - 1
arvores - 2
as - 548
ás - 74
às - 1
as-is - 1
ascii - 2
ashaverus - 3
aspecto - 6
aspereza - 2
asperos - 1
aspirasse - 1
assassinato - 1
assassinatos - 1
assassino - 1
assaz - 1
asseio - 1
assentada - 1
assentarei - 1
assentei - 1
assentiram - 1
assersões - 1
assidua - 1
assiduas - 2
assiduidade - 1
assignei - 1
assim - 158
assis - 2
assistance - 1
assistem - 1
assistia - 2
assistir - 1
assistiu - 1
assobia - 1
assobiando - 1
assobio - 1
assobradada - 1
assobradado - 1
associal-a - 1
associated - 7
assombrava - 1
assombro - 1
assombrou - 1
assomos - 1
assoou-se - 1
assumpto - 10
assusta-se - 2
assustada - 2
assustado - 2
assustal-o - 1
assustava - 1
assustou - 1
astronomia - 4
astronomica - 1
astucia - 1
at - 15
atadas - 1
atado - 2
atados - 1
atal-o - 1
atalhar-me - 1
atalhei - 1
atalhei-o - 1
atalhou - 6
ataque - 2
atar - 1
atar-lhes - 1
ataúde - 2
atava - 1
até - 102
aterrava - 1
atinai - 1
atinar - 1
atinava - 2
atino - 1
atira-se - 1
atirar - 1
atirar-me - 1
atirar-se - 1
atirasse - 1
atirava-me - 1
atirou-m - 1
atirou-se - 1
ative-me - 1
ativer - 1
atlantico - 1
atopetadas - 1
atordoado - 3
atordoaram - 1
atou - 3
atra - 1
atrapalhada - 1
atrapálhado - 1
atrapalhados - 1
atravessado - 1
atravessal-a - 1
atravessar - 2
atravessavam - 1
atravessei - 1
atravessou - 1
atraz - 15
atrazados - 1
atrevi - 1
atrevia - 2
atrevidas - 3
atrevido - 1
atrevimento - 1
atrevo - 1
atropelladamente - 1
atropello - 3
atropelo - 1
attached - 1
attenção - 9
attenções - 1
attender - 2
attendeu - 2
attendia - 2
attendido - 1
attenta - 3
attentamente - 1
attentando - 1
attentas - 1
attento - 3
attenuada - 1
attenuando - 1
attenuar - 1
attinge - 1
attitude - 1
attitudes - 1
attracção - 1
attrahia - 1
attribuir - 1
attribuir-me - 1
attribuira - 1
attribuo - 2
aturdido - 2
audiencia - 6
augmentar - 1
augmentará - 1
augmentára - 1
augmentem - 1
augustissimo - 1
augusto - 2
aula - 2
aurora - 2
ausencia - 6
ausente - 1
austera - 1
authentico - 1
author - 1
autopsias - 1
autor - 7
autoraes - 1
autores - 1
autoridade - 4
autos - 7
auxilio - 1
available - 4
avaliação - 1
avaliasse - 1
avancei - 1
avante - 1
avarenta - 1
ave-marias - 7
aventura - 3
aventuras - 3
aventurei-me - 1
aventurou - 2
aversão - 1
aves - 2
avigoravam-se - 1
avisa-me - 1
avisar - 1
avisasse - 1
avise-me - 1
aviso - 4
avivar-lhe - 1
avó - 1
avô - 1
avoaçando - 1
avoasse - 1
avultava - 1
away - 3
azas - 4
azedo - 1
azedume - 1
azevedo - 1
azues - 2
azul - 4
b - 3
babados - 1
babylonia - 1
bacharel - 4
baculo - 1
bahia - 2
bailados - 1
bailarina - 1
bailarino - 1
bailarinos - 1
baile - 4
bailes - 2
bainha - 1
baio - 1
bairro - 4
baixa - 4
baixinho - 3
baixo - 13
baixos - 1
bajulador - 1
balão - 1
balbuciei - 1
balladas - 1
balsamo - 1
bambas - 1
bambeavam-me - 1
banal - 3
banalidade - 2
banca - 2
banco - 1
bancos - 1
bandós - 1
banho - 1
banqueiro - 1
baptisado - 2
baptisar - 1
baptista - 1
barafunda - 1
barata - 1
barateza - 1
barba - 1
barbaro - 1
barbas - 1
barbeiro - 5
barbonos - 3
barra - 1
barriga - 1
barros - 1
barulho - 1
barytono - 1
based - 2
basta - 14
basta-me - 2
bastam - 1
bastando - 1
bastante - 5
bastantes - 1
bastar - 2
bastaria - 4
bastava - 7
bastavam - 1
baste - 1
bastidor - 1
bastos - 1
bastou - 2
bastou-me - 3
batalha - 7
batalhador - 1
batalhas - 1
batalhões - 1
batedores - 1
batel-as - 1
batendo - 2
batendo-lhe - 1
bater - 3
batesse - 1
bateu-me - 2
bati - 1
batia - 4
batia-me - 1
batiam - 2
batina - 1
batinas - 2
bazares - 1
be - 17
beata - 2
bebe - 1
bebel-o - 2
beber - 3
beberia - 1
bebeu - 1
bebiamos - 1
because - 1
becco - 2
before - 4
beginning - 1
beiços - 5
beijal-a - 2
beijando - 1
beijar - 4
beijar-lhe - 1
beijar-me - 1
beijava - 1
beijava-lhe - 1
beijava-me - 2
beijei - 2
beijei-as - 1
beijo - 8
beijos - 2
beijou - 2
beijou-lhe - 1
beira - 1
beiramos - 1
bella - 13
bellas - 11
belleza - 7
bellezas - 2
bellissimas - 1
bello - 3
bellos - 3
below - 3
bem - 91
bem-amados - 1
bem-aventurados - 1
bemaventurados - 1
benção - 8
beneficio - 5
benevolencia - 1
benevolo - 1
bengala - 2
bengalão - 1
benguella - 1
bens - 2
bentinho - 57
bento - 2
berço - 3
besta - 5
bestas - 2
bezerro - 1
biblia - 2
biblico - 1
bibliotheca - 2
bicos - 1
bigode - 2
bigodes - 1
bilhete - 6
bilhetes - 3
binary - 1
biocos - 1
biombo - 1
bispo - 7
bispos - 1
blaspheme - 1
blasphemias - 1
boa - 29
boa-vida - 1
boas - 7
boca - 4
bocadinho - 1
bocca - 36
boccas - 1
boceta - 3
bochecha - 1
bochechas - 1
bodas - 1
bolas - 4
bolir - 1
bolsa - 1
bolso - 9
bom - 36
bonança - 1
bondade - 4
bondades - 2
boneca - 1
bonecas - 1
bonita - 15
bonitas - 1
bonito - 16
bonitos - 3
bons - 7
borboletas - 1
borda - 2
bordão - 1
bordéos - 1
bordo - 6
borges - 1
botão - 1
botar - 2
botas - 3
botes - 1
both - 1
botica - 1
botinas - 1
botou - 1
bound - 2
braço - 10
braços - 19
bradando - 2
bradar - 2
bradaria - 1
bradava - 2
bradava-me - 1
bradou - 2
branca - 1
brancas - 1
branco - 3
brancos - 3
brandamente - 1
brando - 1
brandos - 1
brandura - 1
branqueavam - 1
brasil - 3
brasileira - 1
bravia - 1
bravio - 1
braza - 1
brazil - 1
brazileira - 1
breach - 2
breve - 10
breves - 2
brevidade - 1
brevissimas - 1
brigar - 1
brigas - 1
brilhantes - 1
brilharam - 1
brilharia - 1
brilhavam - 1
brincadeira - 1
brincando - 7
brincar - 3
brincára - 1
brincava - 3
brincavamos - 1
brincos - 2
brinquedos - 2
brio - 2
brisa - 1
bronze - 1
brute - 1
bufa - 1
bulha - 3
buscado - 1
buscal-a - 1
buscal-o - 2
buscam - 1
buscando - 1
buscar - 11
buscasse - 4
buscava - 6
buscou - 1
business - 1
busquei - 3
busto - 3
bustos - 1
but - 4
by - 29
c - 9
ca - 1
cá - 28
cabe - 2
cabeça - 63
cabeças - 3
cabelleira - 1
cabelleireiro - 2
cabelleireiros - 1
cabello - 4
cabellos - 20
caber - 2
cabia - 3
cabimento - 1
cabisbaixo - 2
cabo - 11
cabra - 1
cabral - 31
caçamba - 1
cachinho - 1
cacho - 1
cachorro - 1
cada - 24
cadaver - 5
cadeira - 6
cadeiras - 1
caderno - 1
cae - 2
cães - 3
café - 12
caía - 2
caíam - 3
caíam-me - 1
caida - 1
caído - 1
caidos - 1
caimos - 1
caindo - 1
cair - 12
caira - 1
cairam - 2
caixao - 1
caixão - 2
caixeiro - 1
cajú - 1
cal - 1
cala - 1
caladas - 2
calado - 8
calados - 3
calamidades - 1
calando - 2
calar - 1
calasse - 2
calassemos - 1
calçada - 2
calcante - 1
calçar - 1
calças - 6
calçava - 2
calculado - 1
calculando - 1
calcular - 2
calculas - 1
calculate - 1
calculated - 1
calculo - 3
calculos - 2
calei-me - 1
calix - 4
callida - 1
callidas - 1
calligraphicas - 1
calor - 10
calou - 1
calou-se - 3
calumnia - 1
calundús - 1
calva - 1
cama - 23
camafeu - 1
camaras - 1
camarote - 2
camarotes - 1
caminha - 1
caminhámos - 1
caminhando - 1
caminharam - 1
caminhavam - 1
caminhei - 2
caminho - 15
caminhos - 2
caminhou - 2
camisa - 1
camisas - 2
camisola - 1
camões - 2
campainha - 2
campanhas - 3
campo - 1
campos - 1
can - 10
canapé - 9
canarios - 1
cança - 1
cançada - 1
cançadas - 2
cançado - 4
cançam - 1
cançar - 1
cançativa - 1
cançava - 1
cancei - 1
canceira - 1
canceiras - 1
cancella - 5
cançou - 2
candelaria - 2
candida - 5
candidamente - 1
candidas - 1
cannot - 4
canoas - 2
canonisada - 1
canonista - 1
cantado - 1
cantagallo - 1
cantando - 5
cantar - 3
cantarolava - 1
cantava - 4
cantei - 1
cantico - 3
cantiga - 1
cantilena - 1
canto - 6
cantoras - 1
cantos - 5
cão - 1
cap - 4
capa - 2
capacidade - 1
capaz - 19
capella - 1
capellas - 1
capinha - 1
capitaes - 1
capitalismo - 1
capitolina - 3
capitú - 345
capitulo - 43
capitulos - 3
capitúsinha - 1
capote - 2
capotes - 1
capotinho - 1
capricho - 1
caprichos - 1
caprichosa - 1
caprichosas - 1
captara - 1
captiva - 1
captivava - 1
capuchinhos - 1
cara - 35
caracter - 3
caras - 8
card - 1
cardeal - 1
carecesse - 1
careciam - 1
cargo - 3
caricias - 3
caridade - 5
caridoso - 1
carinho - 1
carinhos - 1
carinhosos - 1
carmo - 1
carne - 3
carnes - 3
caro - 6
carola - 2
carrancismo - 1
carregado - 1
carregar - 1
carreira - 11
carreiras - 1
carro - 13
carroça - 1
carroças - 1
carros - 2
carry - 1
carta - 8
cartão - 2
cartas - 11
cartaz - 1
cartorio - 2
casa - 170
casa-se - 1
casaca - 1
casacas - 1
casada - 7
casadas - 1
casado - 4
casados - 3
casaes - 2
casal - 2
casam - 1
casamento - 6
casando - 2
casando-se - 1
casar - 12
casára - 1
casarei - 1
casas - 16
casca - 2
case - 7
casei - 1
caseira - 1
casemo-nos - 1
casmurrice - 1
casmurro - 13
caso - 34
casos - 6
casou - 2
casta - 2
castanha - 1
castello - 2
castellos - 1
castigada - 2
castigar-me - 1
castigo - 1
castissima - 1
casto - 1
castos - 1
casualidade - 1
casuarina - 2
catalogo - 2
catão - 1
catastrophe - 2
catei - 2
catholica - 2
catholicismo - 1
catholico - 2
catholicos - 1
cattete - 5
catumby - 1
cauda - 1
causa - 16
causaria - 1
causas - 3
cause - 2
cautela - 2
cautelas - 1
cauteloso - 1
cautelosos - 1
cava - 1
cavalheiro - 2
cavallaria - 1
cavalleiro - 4
cavallo - 12
cavallos - 1
cavar - 2
cavatina - 1
caverna - 1
ce - 1
cease - 1
cede - 2
cedendo - 2
ceder - 2
ceder-lhe - 2
cederá - 1
cedesse - 1
cedeu - 4
cedi - 1
cedia - 1
cedo - 9
ceei - 2
cegava - 1
cego - 1
cegueira - 1
celebre - 3
celebres - 3
celeste - 1
celestial - 1
cem - 1
cemiterio - 13
censuras - 1
censurava - 1
censures - 1
censurou - 1
centelhantes - 1
centenas - 1
centesimo - 1
centraes - 1
central - 3
centro - 3
cêra - 1
cerca - 2
cercada - 1
cerebro - 5
ceremonia - 1
cerimonia - 5
cerimonias - 1
cerrada - 1
cerradas - 1
cerrar - 1
cerrava - 3
certa - 13
certain - 2
certamente - 7
certas - 2
certeza - 4
certidão - 1
certificar - 1
certíssima - 1
certo - 35
certos - 3
cesar - 7
cessando - 1
cessaram - 1
cessavam - 1
ceu - 65
cezar - 1
chá - 6
chacara - 8
chacarinha - 1
chalaça - 1
chale - 1
chama - 1
chama-me - 1
chamada - 1
chamado - 4
chamados - 1
chamal-a - 1
chamam-me - 1
chamando-lhe - 1
chamando-me - 2
chamar - 6
chamar-lhe - 2
chamar-nos - 1
chamaram - 1
chamasse - 1
chamassem - 2
chamava - 10
chamava-lhe - 1
chamava-me - 3
chamava-se - 2
chame - 1
chamei - 1
chamei-lhes - 1
chamei-me - 1
chamem-me - 1
chames - 1
chamo-me - 1
chamou - 2
chamou-lhe - 2
chamou-me - 1
change - 1
chão - 17
chapéo - 4
chapeu - 1
charada - 1
charge - 6
charges - 1
charitable - 1
charities - 1
charlatão - 1
charuto - 1
chave - 3
chaves - 4
check - 4
checks - 1
chefe - 1
chega - 4
chegada - 2
chegado - 1
chegam - 3
chegámos - 3
chegando - 5
chegar - 6
chegara - 3
chegaram - 2
chegaram-me - 1
chegarão - 1
chegaremos - 2
chegasse - 2
chegava - 4
chegavam - 2
chego - 3
chegou - 14
chegou-se - 1
chegue - 3
cheguei - 19
cheguei-lhe - 1
cheguei-me - 1
cheia - 14
cheias - 1
cheio - 11
cheios - 3
cheiram - 2
cheirando - 1
cheirar-me - 1
cheiravam - 1
cheiro - 2
chianti - 1
chicara - 9
chicote - 2
chilrear - 1
chinellas - 3
chins - 2
chita - 4
chitas - 1
chocarreira - 1
chocha - 1
choose - 1
chora - 3
choraes - 1
chorando - 6
chorão - 1
chorar - 2
choraria - 1
chorasse - 2
chorava - 2
choravam - 2
chore - 1
chorei - 3
chorem - 1
choro - 3
chorou - 5
chovendo - 1
chovesse - 1
choveu - 1
chovia - 3
choviam - 1
christão - 1
christãs - 1
chronologia - 1
chronologicamente - 1
chulo - 1
chumbo - 1
chupado - 2
chupando - 1
chuva - 3
ci - 2
ciborio - 1
cidade - 12
cidade-nova - 1
cie - 1
cigana - 3
cigarra - 1
cii - 2
ciii - 2
cima - 18
cincada - 1
cinco - 12
cincoenta - 3
cinta - 2
cintura - 3
cinza - 1
cioso - 2
circulo - 1
circulos - 1
circumstancia - 3
circumstancias - 4
cirzido - 1
citações - 1
citadas - 1
citados - 1
citando - 1
citar - 1
citou - 1
city - 1
ciume - 4
ciumes - 16
civ - 2
