---------- LEXICON ----------
anticipated - 2
anticipating - 2
anticipation - 6
anticipations - 6
antidote - 1
antigua - 2
antipathy - 1
antiquarians - 1
antiquated - 2
antiquities - 1
antiquity - 6
antoninus - 1
antwerp - 3
anxiety - 9
anxious - 5
any - 1640
anybody - 10
anymore - 1
anyone - 8
anything - 13
anytime - 1
anywhere - 22
apartment - 1
aperea - 1
apoixia - 1
apologizes - 1
apologues - 1
apology - 2
apophthegms - 1
apoplexy - 1
apothecaries - 1
apothecary - 4
apparent - 8
apparently - 2
appeal - 4
appealed - 1
appear - 100
appearance - 15
appearances - 1
appeared - 15
appearing - 5
appears - 59
appease - 1
appeased - 1
appellation - 6
appendages - 3
appendix - 4
applauses - 1
apples - 1
applicable - 6
application - 37
applied - 44
applies - 1
apply - 13
applying - 5
appoint - 2
appointed - 15
appointing - 3
appointment - 4
appointments - 1
appoints - 1
apprehend - 12
apprehended - 1
apprehensions - 2
apprentice - 11
apprentices - 14
apprenticeship - 29
apprenticeships - 7
approach - 6
approached - 3
approaches - 7
approaching - 3
approbation - 3
appropriation - 3
approve - 3
approved - 2
approximation - 2
approximations - 1
april - 6
apt - 27
aqueduct - 1
aquire - 1
arab - 3
arabia - 2
arabian - 4
arabic - 1
arable - 2
arabs - 4
arbitrary - 26
arbitration - 3
arbuthnot - 1
archbishop - 2
archery - 1
archipelago - 1
architects - 1
archive - 13
ardour - 1
are - 2191
argument - 8
arguments - 9
argyll - 1
arise - 28
arisen - 12
arises - 40
arising - 36
aristocracies - 1
aristocracy - 6
aristotle - 5
arithmetic - 4
arithmetical - 2
arm - 3
armada - 2
armed - 1
armies - 34
armour - 2
armourer - 1
arms - 23
army - 72
arose - 17
arragon - 1
arrange - 2
arranged - 1
arrangement - 4
array - 1
arrear - 2
arrears - 2
arrivals - 1
arrive - 10
arrived - 9
arrogant - 1
arrows - 4
art - 49
artfully - 2
article - 29
articles - 37
artifice - 1
artificer - 34
artificers - 72
artifices - 1
artificial - 7
artificially - 3
artillery - 3
artists - 2
artizans - 1
arts - 48
as - 3098
as-is - 1
ascendants - 2
ascended - 1
ascertain - 20
ascertained - 13
ascertaining - 5
ascertains - 2
ascetic - 2
ascii - 2
ascribe - 1
ascribed - 5
asdrubal - 4
ashamed - 2
ashes - 1
asia - 21
asiatic - 1
aside - 6
asinius - 2
ask - 3
asked - 5
asking - 1
aspire - 1
ass - 1
assault - 1
assaying - 3
assemble - 1
assembled - 2
assemblies - 23
assembling - 1
assembly - 16
assentation - 2
assert - 2
asserted - 6
asserting - 2
assertion - 1
asses - 2
assesed - 1
assess - 2
assessed - 40
assesses - 4
assessing - 1
assessment - 19
assessments - 1
assessors - 5
assiento - 2
assign - 3
assigned - 14
assigning - 3
assignment - 6
assignments - 1
assigns - 1
assist - 6
assistance - 31
assisted - 4
assize - 12
associated - 9
associations - 1
assortment - 1
assume - 3
assumed - 5
assumes - 5
assuming - 1
assurance - 2
assure - 1
assured - 29
assuredly - 1
assures - 2
astonish - 1
astonished - 1
astonishment - 1
at - 1699
at-present - 1
athenians - 2
athens - 9
atlantic - 3
attach - 1
attached - 6
attachment - 2
attack - 6
attacked - 5
attacking - 1
attacks - 3
attain - 1
attained - 2
attaining - 1
attempt - 37
attempted - 25
attempting - 7
attempts - 11
attend - 25
attendance - 4
attendant - 1
attendants - 1
attended - 30
attending - 3
attends - 8
attention - 106
attentions - 1
attentive - 9
attested - 1
attetitive - 1
attorney - 2
attorney-general - 1
attorneys - 7
attract - 6
attracted - 1
attracting - 1
attraction - 1
attractions - 2
attracts - 2
attributes - 2
auction - 1
audience - 1
auditors - 2
augment - 36
augmentation - 24
augmentations - 1
augmented - 59
augmenting - 19
augments - 10
august - 7
augustine - 1
augustus - 2
aulnagers - 1
auspices - 1
austere - 7
austerities - 2
austerity - 1
austria - 2
austrian - 2
austrians - 1
authentic - 4
authenticated - 4
author - 29
authorised - 2
authorises - 2
authority - 135
authorized - 1
authors - 13
avail - 2
available - 2
avarice - 6
average - 133
averse - 4
aversion - 3
avidity - 7
avoid - 9
avoided - 2
avoiding - 1
avoirdupois - 3
avow - 1
avowed - 13
awake - 1
awaken - 1
awakening - 1
aware - 2
away - 73
awe - 1
awful - 1
awkward - 3
awkwardness - 2
ayres - 3
ayrshire - 1
azores - 1
b - 18
babylon - 1
babylonian - 1
bachelors - 1
back - 89
backward - 2
backwardness - 2
backwards - 10
bad - 52
badge - 3
badges - 4
badness - 4
bahama - 1
bailiff - 5
bailiffs - 4
baked - 2
baker - 9
bakers - 2
balance - 72
balances - 2
balancing - 1
balboa - 1
bales - 1
balista - 2
baltic - 6
bananas - 1
banditti - 1
bands - 1
banished - 3
banishes - 2
bank - 272
banker - 14
bankers - 22
banking - 38
banknotes - 1
bankrupt - 10
bankruptcies - 5
bankruptcy - 16
bankrupts - 4
banks - 57
banner - 1
banquet - 1
bar - 8
barbadoes - 2
barbarians - 3
barbarism - 7
barbarous - 39
barbary - 2
bare - 4
barefooted - 2
barely - 10
bargain - 4
bargaining - 1
bargains - 1
bark - 1
barley - 20
barn - 1
baron - 5
baronies - 1
barons - 16
barony - 1
barrack - 1
barrel - 39
barrels - 14
barrelstaves - 1
barren - 24
barrenness - 13
barretti - 2
barriers - 1
bars - 11
barter - 11
bartered - 2
base - 5
based - 2
basil - 1
batavia - 4
bath - 1
battle - 7
battles - 4
baubles - 4
bavaria - 1
bay - 8
bayonne - 1
bazinghen - 1
be - 3845
beans - 3
bear - 42
bearer - 7
bearing - 4
bears - 24
beast - 5
beasts - 2
beats - 1
beau - 1
beautiful - 7
beautify - 1
beauty - 13
beaver - 10
became - 64
because - 144
becket - 1
become - 144
becomes - 90
becoming - 15
bed - 3
beef - 5
been - 1669
been-still - 1
beer - 39
befal - 1
befel - 1
before - 443
before-hand - 3
beforehand - 4
beg - 2
began - 36
beggar - 5
beggaring - 1
beggarly - 8
beggars - 2
beggary - 3
begging - 3
begin - 10
beginning - 50
beginnings - 7
begins - 12
begun - 15
behave - 3
behaviour - 3
beheld - 1
behind - 8
behold - 1
being - 430
beings - 1
belgia - 1
belief - 1
believe - 71
believed - 11
believing - 3
bell - 1
bell-metal - 1
bello - 1
bellows - 1
belong - 41
belonged - 14
belonging - 11
belongs - 38
beloved - 1
below - 121
bench - 2
bend - 1
benedictine - 1
benefactor - 3
benefice - 7
benefices - 22
beneficial - 20
benefit - 49
benefited - 5
benefits - 3
benevolence - 4
bengal - 16
benguela - 2
bent - 2
benumb - 2
bequeathed - 1
berne - 9
bernier - 1
besides - 149
best - 116
bestow - 4
bestowed - 24
bestowing - 1
bestows - 1
bethought - 1
betokens - 1
betook - 1
better - 164
bettering - 2
between - 288
beyond - 63
bible - 2
bid - 8
bill - 53
billets - 1
bills - 73
binary - 1
bind - 1
binding - 1
binds - 2
birch - 1
birds - 7
birmingham - 8
birth - 20
birth-right - 1
bishop - 9
bishoprics - 3
bishops - 2
bit - 2
bits - 2
black - 3
blacks - 2
blacksmith - 1
blackstone - 2
bladi - 1
blame - 1
blameable - 1
blanc - 1
blankets - 1
blanks - 4
bleacher - 1
bleachers - 1
blessed - 1
blockade - 1
blood - 10
blood-vessel - 1
bloodshed - 2
blossoms - 1
blows - 1
blubber - 1
blunders - 1
blunt - 1
board - 8
boards - 1
boast - 3
boasted - 3
boat - 1
boat-fishery - 5
bodies - 16
bodily - 1
body - 117
bog - 2
bohemia - 4
boiler - 3
boisterous - 1
bold - 5
boll - 1
bombay - 1
bond - 10
bond-debts - 3
bond-men - 3
bondmen - 3
bonds - 3
bone - 3
bones - 1
book - 72
books - 24
bookseller - 1
boon - 1
boot-makers - 1
booth - 1
boots - 1
booty - 2
border - 2
bore - 5
borlace - 1
born - 7
borne - 6
boroughs - 1
borrow - 30
borrowed - 40
borrower - 12
borrowers - 4
borrowing - 22
borrows - 2
boston - 2
both - 580
bottom - 4
bottoms - 3
bouchaud - 1
bought - 32
bound - 26
boundaries - 1
boundary - 5
bounded - 1
bounder - 1
bounding - 1
boundless - 1
bounds - 5
bounties - 61
bounty - 171
bourbon - 1
bourdeaux - 4
bow - 2
bowels - 6
bows - 2
bowsprits - 3
box - 1
boy - 2
boys - 4
bracelets - 1
brady - 1
braganza - 1
brambles - 2
branch - 85
branches - 101
brandies - 3
brandy - 3
brass - 4
brave - 1
brazier - 1
brazil - 11
brazilians - 1
brazils - 6
breach - 5
breaches - 2
bread - 50
breadth - 1
break - 6
breaking - 5
breaks - 3
bred - 7
breed - 5
breeding - 7
breslaw - 1
brethren - 4
brew - 7
brewed - 4
brewer - 19
breweries - 1
brewers - 1
brewery - 12
brews - 1
briars - 2
bribe - 2
bribery - 1
bribing - 1
brick-makers - 1
bricklayer - 2
bricklayers - 6
brickmaker - 1
bricks - 4
bridge - 4
bridges - 4
brilliant - 3
brimstone - 1
bring - 100
bringing - 48
brings - 25
brink - 1
bristol - 2
britain - 373
britanny - 1
british - 135
broad - 4
broad-wheeled - 2
brocades - 1
broke - 8
broken - 3
brook - 1
brother - 4
brother-in-law - 1
brothers - 1
brought - 130
brown - 4
bruce - 1
bruges - 1
brutal - 1
brutality - 2
brutus - 1
buccaneers - 1
buck-wheat - 1
buckets - 1
buckles - 2
buckwheat - 1
buenos - 3
buffon - 2
buffoons - 1
build - 4
builder - 6
builders - 1
building - 31
building-rent - 7
buildings - 9
built - 7
bulk - 24
bulky - 8
bull - 1
bullion - 96
burcester - 1
burden - 31
burdened - 7
burdens - 8
burdensome - 10
burgh - 3
burgher - 3
burghers - 13
burghs - 4
burgi - 3
burgo-master - 1
burgomasters - 2
burgundians - 1
burgundy - 2
burman - 1
burn - 6
burner - 1
burning - 1
burnt - 2
burrowed - 1
burrower - 1
bursaries - 2
burthen - 1
bury - 1
bushel - 25
bushels - 26
business - 156
buss - 2
buss-bounty - 3
buss-caught - 2
buss-fishery - 4
busses - 5
but - 1965
butcher - 64
butchers - 6
butter - 5
button - 1
buy - 122
buyer - 5
buyers - 8
buying - 20
buys - 14
by - 3005
bye-law - 12
bye-laws - 10
bye-word - 1
bylaw - 1
byron - 1
c - 41
cabbages - 4
cabinet - 1
cabinet-maker - 2
cachet - 1
cadiz - 10
caesar - 3
calaminaris - 1
calamities - 2
calamity - 13
calcraft - 1
calculate - 1
calculated - 4
calculation - 3
calculations - 2
calcutta - 8
calendar - 2
calf - 1
calicoes - 3
call - 28
called - 241
calling - 3
callings - 1
calls - 5
calm - 1
calves - 2
calvin - 1
calvinistic - 1
cambrics - 2
came - 33
cameron - 1
camp - 2
campaign - 5
campaigns - 3
campus - 2
can - 1091
canada - 2
canal - 11
canals - 15
canaries - 1
cancelled - 2
candid - 1
candidate - 3
candidates - 2
candle-maker - 1
candles - 9
candour - 2
cange - 1
cannae - 1
cannon - 2
cannon-shot - 1
cannot - 233
canon - 2
canons - 1
canterbury - 1
cantillon - 1
canton - 16
cantons - 5
cap - 5
capable - 71
capacity - 5
cape - 22
capetian - 1
capital - 657
capitals - 115
capitation - 16
capitulation - 1
caprice - 5
capricious - 2
capriciously - 3
captain - 1
captains - 2
capture - 2
carats - 3
caravans - 1
carcase - 10
card - 1
carder - 1
cards - 3
care - 31
cared - 1
careful - 20
carefully - 10
careless - 9
cares - 3
cargo - 13
cargoes - 2
caring - 2
carlisle - 3
carnatic - 1
carneades - 2
carolina - 5
carolinas - 1
caroline - 1
carpenter - 6
carpenters - 4
carpino - 1
carreri - 1
carriage - 26
carriages - 10
carried - 209
carrier - 1
carriers - 16
carries - 23
carrieth - 1
carrion - 1
carron - 1
carrots - 4
carry - 101
carrying - 79
cart - 3
carthage - 3
carthagena - 2
carthaginian - 3
carthaginians - 1
carts - 2
carver - 1
case - 187
cases - 150
cash - 12
cash-account - 2
cash-accounts - 3
cashier - 1
cask - 2
casks - 1
caspian - 2
cassendi - 1
cassius - 1
cast - 3
casteth - 1
castile - 3
castle - 1
castles - 4
castracani - 1
castruccio - 1
casts - 2
casual - 1
casualties - 1
casuistry - 2
cat - 2
catapulta - 2
catch - 1
catching - 2
catholic - 11
catholics - 2
cato - 2
cats - 1
cattle - 143
caught - 6
cause - 66
caused - 1
causes - 86
causeth - 1
caution - 2
cease - 11
ceased - 11
ceases - 10
ceded - 2
celebes - 1
celebrated - 2
celebrating - 1
celer - 2
cellar - 1
cellars - 1
celtes - 1
censure - 5
cent - 247
central - 1
centre - 6
cents - 2
centuries - 28
century - 155
ceremonial - 2
ceremonials - 1
ceremonies - 1
certain - 290
certainly - 98
certainly-easier - 1
certainty - 9
certificate - 9
certificated - 3
certificates - 8
certifies - 1
certify - 1
certifying - 2
ch - 1
chace - 1
chaff - 1
chair - 2
chairman - 1
chairmen - 2
chairs - 2
chaldron - 1
chamberlain - 1
chambers - 3
champaign - 1
chance - 22
chancery - 2
chances - 1
change - 46
changed - 5
changes - 10
changing - 6
channel - 13
channels - 2
chap - 30
chaplain - 2
chapter - 86
chapters - 10
character - 30
characteristic - 4
characters - 6
charcoal - 1
charge - 19
chargeable - 3
charged - 20
charges - 6
charging - 2
charitable - 3
charities - 5
charity - 10
charlemagne - 2
charles - 29
charlevoix - 1
charms - 1
charter - 18
charters - 5
chased - 1
chastise - 2
chastising - 1
chastity - 2
chatham - 1
chattels - 3
cheap - 69
cheaper - 123
cheapest - 10
cheaply - 1
cheapness - 41
cheat - 1
cheated - 2
check - 4
checking - 1
checks - 2
cheer - 1
cheerful - 1
cheese - 2
chest - 1
chief - 26
chief-baron - 1
chiefly - 77
chiefs - 7
chieftain - 1
chieftains - 4
chieftainship - 1
child - 6
childish - 2
children - 54
chili - 7
chimerical - 6
china - 59
china-merchant - 1
china-ware - 1
chinese - 8
chivalry - 1
chocolate - 3
choice - 7
choiseul - 1
choose - 16
chooses - 5
chose - 3
chosen - 11
christendom - 3
christian - 3
christianity - 2
christiern - 2
christopher - 2
chronological - 1
church - 94
church-wardens - 5
churches - 9
churchman - 1
churchmen - 5
churchwarden - 1
chuse - 6
chuses - 3
chusing - 1
cibao - 1
cicero - 3
cipange - 1
circle - 9
circuit - 1
circulate - 26
circulated - 32
circulates - 9
circulating - 71
circulation - 94
circumspect - 1
circumspection - 2
circumstance - 25
circumstanced - 3
circumstances - 145
circumstantial - 2
cities - 43
citizen - 19
citizens - 37
citizenship - 1
citta - 1
city - 54
civil - 65
civil-list - 2
civile - 1
civilization - 3
civilized - 56
claim - 12
claimed - 3
claiming - 1
claims - 3
clamorous - 4
clamour - 10
clamoured - 1
clan - 4
clandestinely - 6
claret - 1
class - 65
classed - 3
classes - 29
classical - 2
clause - 9
clauses - 2
clay - 5
clayed - 1
claying - 4
clean - 3
cleaning - 1
cleanlier - 1
cleanliness - 3
cleanly - 1
cleansing - 1
clear - 23
cleared - 1
clearest - 4
clearing - 8
clearly - 9
clergy - 88
clergyman - 3
clergymen - 1
clerk - 4
clerks - 5
climate - 18
clipping - 3
clips - 1
clipt - 5
clock-cases - 1
clock-makers - 1
clocks - 2
clog - 1
clogged - 1
close - 1
closely - 1
cloth - 34
clothe - 5
clothed - 3
clothes - 26
clothiers - 5
clothing - 32
cloths - 13
clove - 1
clover - 1
co-operation - 2
coach - 7
coach-maker - 3
coach-tax - 1
coach-wheels - 1
coaches - 3
coachmaker - 2
coal - 21
coal-heavers - 3
coal-pit - 1
coal-ships - 1
coals - 21
coarse - 31
coarser - 10
coarsest - 2
coast - 35
coast-cockets - 1
coast-ways - 1
coasting - 7
coasts - 3
coastways - 1
coastwise - 1
coat - 2
cobweb - 1
cochin - 2
cochin-china - 1
cock-fighting - 1
cocoa-nuts - 2
cod - 1
code - 1
codes - 1
coercive - 2
coffee - 3
coffer - 2
coffers - 39
cogitantes - 1
cognizance - 3
coin - 233
coinage - 39
coincide - 2
coinciding - 1
coined - 24
coiner - 1
coiners - 1
coining - 4
coins - 11
colbert - 4
cold - 4
colin - 1
collated - 1
collateral - 3
collaterals - 1
collating - 2
collation - 2
collect - 20
collected - 22
collecting - 5
collection - 11
collections - 2
collectively - 1
collector - 5
collectors - 2
collects - 3
college - 14
colleges - 10
collier - 2
colliers - 2
colonel - 1
coloni - 1
colonia - 1
colonies - 327
colonist - 3
colonists - 15
colonization - 4
colonizing - 2
colony - 122
colour - 3
coloured - 1
columbus - 11
columella - 7
comb-maker - 1
combination - 15
combinations - 12
combine - 15
combined - 5
combining - 7
come - 102
comes - 98
comets - 1
comfort - 3
comfortable - 6
comfortably - 2
comforters - 1
coming - 12
command - 70
commanded - 4
commanderies - 1
commanding - 2
commands - 4
commence - 3
commencement - 15
commend - 1
commended - 1
commerce - 245
commercial - 61
commissaries - 1
commissary - 1
commisses - 1
commission - 16
commissioned - 1
commissioners - 4
commissions - 1
commit - 4
committed - 14
committee - 10
committee-man - 2
committeeman - 1
committing - 2
commodious - 1
commodities - 308
commodity - 166
common - 303
commonalty - 1
commonly - 253
commons - 6
commonwealth - 26
commotion - 1
communeaute - 1
communicate - 1
communicated - 1
communicating - 3
communication - 15
communications - 4
communities - 2
community - 5
companies - 77
companion - 3
companions - 5
companionship - 1
company - 244
comparative - 1
comparatively - 1
compare - 15
compared - 19
compares - 2
comparing - 3
comparison - 24
comparisons - 3
compass - 2
compassion - 1
compeigne - 1
compel - 5
compensate - 44
compensated - 24
compensates - 5
compensating - 13
compensation - 21
competent - 3
competition - 130
competitor - 1
competitors - 23
compilation - 1
compiled - 2
complain - 13
complained - 14
complaining - 1
complains - 2
complaint - 11
complaints - 11
complaisance - 1
complaisant - 1
complement - 7
complete - 34
completed - 11
completely - 48
completes - 1
completest - 5
complex - 2
complexly - 2
compliance - 7
complicated - 9
complied - 1
comply - 7
complying - 3
component - 10
compose - 11
composed - 19
composition - 13
compound - 7
compounds - 1
comprehend - 3
comprehended - 16
comprehending - 3
comprehends - 6
comprehension - 1
comprehensions - 1
comprehensive - 2
compressed - 1
compulsive - 1
computation - 4
computations - 3
compute - 4
computed - 35
computer - 2
computers - 2
computes - 2
computing - 1
conceal - 8
concealed - 6
concealing - 3
concealment - 3
conceit - 3
conceited - 1
conceive - 4
conceived - 3
conceives - 1
conceiving - 1
concept - 2
concern - 5
concernant - 16
concerned - 9
concerning - 63
concerns - 7
concert - 4
concessions - 1
conclude - 8
concluded - 10
conclusion - 14
conclusive - 1
concord - 1
concordat - 3
concur - 3
concurred - 1
concurrence - 4
condescend - 1
condition - 74
conditions - 4
condom - 1
conduces - 1
conduct - 65
conducted - 14
conducting - 1
conductors - 3
coney - 1
confederacy - 3
confer - 1
conferred - 2
conferring - 1
confession - 1
confide - 1
confidence - 15
confident - 1
confidently - 2
confine - 10
confined - 59
confinement - 2
confines - 4
confining - 6
confirm - 5
confirmation - 1
confirmed - 10
confirms - 1
confiscated - 1
confound - 1
confounded - 9
confounds - 1
confused - 1
confusion - 5
confusions - 3
congo - 2
congregation - 1
congress - 3
conjectural - 1
conjecture - 3
conjunction - 1
connect - 2
connected - 24
connecticut - 2
connecting - 1
connection - 7
connections - 1
connects - 2
connexion - 3
connivance - 1
connived - 1
conquer - 3
conquered - 15
conquering - 8
conqueror - 3
conquerors - 1
conquest - 23
conquests - 4
conscience - 1
conscientious - 1
conscious - 2
consciousness - 3
consecrated - 2
conseiller-commissaire - 1
consent - 22
consented - 2
consequence - 171
consequences - 8
consequent - 2
consequential - 3
consequently - 142
consider - 41
considerable - 293
considerably - 43
consideration - 24
considerations - 5
considered - 150
considering - 5
considers - 4
consigned - 2
consignments - 1
consist - 43
consisted - 31
consistent - 8
consistently - 9
consisting - 10
consistorial - 3
consists - 64
consolation - 1
consolidated - 1
conspiracy - 1
constable - 1
constancy - 10
constant - 44
constantine - 1
constantinople - 3
constantly - 53
constituent - 3
constituents - 4
constitute - 22
constituted - 8
constitutes - 18
constituting - 5
constitution - 33
constitutions - 1
constraint - 2
construct - 1
constructed - 2
constructing - 1
construe - 1
consul - 2
consuls - 3
consult - 2
consulted - 2
consulting - 1
consults - 1
consumable - 46
consume - 35
consumed - 63
consumer - 41
consumers - 41
consumes - 9
consuming - 6
consumption - 278
consumptions - 1
contact - 4
contain - 28
contained - 45
containing - 28
contains - 15
contemplation - 2
contempt - 8
contemptible - 9
contemptuous - 2
contemptuously - 1
contending - 3
content - 17
contented - 7
contentedly - 1
contenting - 2
contents - 6
contest - 2
continent - 14
continental - 2
continents - 1
contingent - 1
continual - 45
continually - 109
continuance - 31
continuation - 1
continue - 77
continued - 49
continues - 43
continuing - 13
contraband - 2
contract - 25
contracted - 25
contracting - 5
contracts - 16
contradistinction - 1
contrary - 146
contrast - 1
contrasted - 1
contribute - 65
contributed - 37
contributes - 19
contributing - 7
contribution - 16
contributions - 5
contributor - 10
contributors - 12
contrivance - 1
contrivances - 1
contrive - 1
contrived - 8
contrivers - 4
contriving - 1
control - 2
controle - 2
controlling - 1
controls - 1
controversy - 2
controvert - 1
conveniences - 1
conveniencies - 36
conveniency - 35
convenient - 60
conveniently - 5
conventicle - 1
conversation - 8
converse - 1
conversion - 5
convert - 8
converted - 5
converting - 1
converts - 1
convey - 6
conveyance - 2
conveyances - 1
conveyed - 2
conveying - 1
conveys - 6
convicted - 5
convicting - 1
conviction - 3
convince - 4
convinced - 7
convincing - 1
convulsion - 1
convulsions - 3
cook - 1
cooking - 1
copartneries - 1
copartners - 1
copartnery - 10
copenhagen - 1
copied - 5
copiers - 3
copies - 8
copper - 35
copperas - 1
copy - 13
