---------- LEXICON ----------
accuse - 24
accused - 29
accuser - 3
accusers - 7
accuseth - 2
accusing - 5
accustomed - 20
achab - 102
achad - 1
achaia - 11
achaicus - 3
achan - 9
achar - 3
achaz - 46
achazib - 1
acheth - 2
achia - 2
achias - 3
achieved - 2
achievements - 2
achim - 2
achimaas - 15
achiman - 1
achimelech - 19
achimoth - 1
achinoam - 7
achior - 17
achis - 24
achisamech - 3
achitob - 16
achitophel - 22
achobor - 6
achor - 7
achsa - 1
achsaph - 2
achzib - 1
achziba - 1
acknowledge - 9
acknowledged - 8
acknowledges - 3
acknowledging - 5
acknowledgment - 2
acquaint - 2
acquaintance - 8
acquainted - 2
acquire - 3
acquired - 2
acquiring - 1
acquisition - 2
acquit - 2
acquitted - 2
acrabathane - 1
acre - 1
acres - 1
acron - 1
act - 22
acted - 12
acteth - 1
acting - 4
action - 4
actions - 3
active - 5
acts - 98
actual - 1
acute - 1
ad - 12
ada - 9
adad - 13
adada - 1
adadremmon - 2
adaia - 6
adaias - 3
adali - 1
adalia - 1
adam - 58
adama - 7
adamant - 2
adami - 1
adan - 1
adapted - 1
adar - 17
adarezer - 21
adarsa - 1
adazer - 1
adbeel - 2
add - 58
addar - 2
added - 39
addeth - 4
addi - 1
addicted - 2
adding - 4
addition - 2
additional - 4
additions - 1
addo - 10
addon - 1
address - 3
addressed - 2
addresses - 1
adds - 4
addus - 1
adeodatus - 3
adhere - 8
adhered - 3
adherence - 1
adherents - 2
adhereth - 1
adhering - 1
adiada - 1
adias - 1
adiel - 3
adin - 3
adina - 1
adino - 1
adithaim - 1
adjoining - 6
adjure - 9
adjured - 8
adjuring - 2
adjutorium - 1
adli - 1
admatha - 1
administer - 2
administered - 3
administereth - 1
administering - 1
administration - 1
admirable - 8
admiration - 12
admire - 2
admired - 8
admirers - 1
admireth - 2
admiring - 3
admit - 3
admittance - 1
admitted - 8
admitting - 1
admonish - 14
admonished - 9
admonishes - 9
admonishest - 1
admonisheth - 2
admonishing - 6
admonition - 10
admonitions - 10
ado - 3
adom - 1
adommim - 1
adommin - 1
adon - 1
adonai - 5
adonia - 1
adonias - 27
adonibezec - 3
adonicam - 3
adoniram - 2
adonis - 2
adonisedec - 2
adopted - 7
adopteth - 1
adoption - 6
ador - 1
adoram - 2
adoration - 4
adoravit - 1
adore - 114
adored - 86
adorers - 1
adoreth - 4
adoring - 10
adorn - 11
adorned - 22
adorneth - 1
adorning - 5
adramelech - 3
adria - 1
adrumetum - 1
adullam - 1
adulterating - 2
adulterer - 7
adulterers - 11
adulteress - 8
adulteresses - 4
adulteries - 5
adulterous - 5
adultery - 46
aduram - 5
advance - 5
advanced - 25
advancedst - 1
advancement - 2
advanceth - 1
advancing - 1
advantage - 11
advantaged - 1
advantages - 4
adversaries - 32
adversary - 29
adverse - 1
adversity - 4
advertise - 1
advertised - 1
advertiseth - 1
advice - 5
advise - 1
advised - 2
advocate - 3
aedituos - 1
aemulari - 1
aen - 2
afar - 89
affable - 1
affair - 1
affairs - 20
affect - 2
affected - 6
affecting - 1
affection - 13
affections - 8
afferte - 1
affict - 1
affinity - 7
affirm - 3
affirmation - 2
affirmed - 5
affirming - 5
afflict - 61
afflicted - 86
afflicteth - 4
afflicting - 2
affliction - 101
afflictions - 30
affordeth - 1
affording - 1
affrighted - 10
affront - 3
affronts - 1
aforesaid - 9
afraid - 154
africa - 3
after - 1222
afterbirths - 1
afternoon - 1
aftertimes - 1
afterward - 9
afterwards - 115
agabus - 2
agag - 10
agagite - 2
again - 627
against - 1926
agar - 15
agarai - 1
agarene - 1
agarenes - 1
agarens - 1
agarites - 4
agate - 2
age - 100
aged - 12
agent - 1
agents - 1
ages - 28
aggeus - 20
aggi - 1
aggites - 1
aggith - 1
agite - 1
ago - 12
agony - 2
agree - 18
agreeable - 21
agreeably - 3
agreed - 20
agreeing - 5
agreement - 23
agrees - 7
agreeth - 2
agrippa - 13
aground - 1
agur - 2
ah - 16
aha - 3
ahalab - 1
ahara - 1
aharehel - 1
ahasthari - 1
ahava - 3
ahaz - 4
ahazi - 1
aher - 1
ahi - 1
ahia - 2
ahialon - 2
ahiam - 1
ahias - 16
ahicam - 20
ahiezar - 1
ahiezer - 5
ahilud - 5
ahiman - 3
ahimelech - 3
ahinadab - 1
ahio - 5
ahion - 2
ahira - 5
ahiram - 1
ahiramites - 1
ahisahar - 1
ahisar - 1
ahiu - 1
ahiud - 2
ahobban - 1
ahod - 2
ahoe - 1
ahohite - 5
ahumai - 1
aia - 6
aialon - 7
aiath - 2
aid - 24
aided - 2
aila - 3
ailath - 3
ailed - 1
aileth - 7
aim - 2
ain - 8
aion - 1
air - 87
ajalon - 1
akin - 7
al - 2
alabaster - 5
alam - 1
alamath - 2
alarm - 3
alarmed - 1
alarms - 1
alas - 44
albeit - 1
alcimus - 20
aleazar - 1
aleph - 9
alexander - 50
alexandria - 14
alexandrians - 1
algas - 1
aliam - 1
alian - 1
alias - 15
alicarnassus - 1
alien - 2
alienated - 12
alienateth - 1
aliens - 6
alike - 17
alima - 1
alive - 67
all - 7076
allay - 1
allege - 3
alleged - 4
alleges - 1
allegiance - 1
alleging - 1
allegories - 2
allegory - 2
alleluia - 29
alleman - 1
allen - 3
alliance - 10
allied - 4
allies - 4
allon - 1
allotted - 2
allow - 12
allowable - 1
allowance - 9
allowed - 16
alloweth - 2
allowing - 3
allude - 6
alludes - 12
alludeth - 1
alluding - 1
allure - 5
allured - 2
allurements - 2
allureth - 1
alluring - 1
allusion - 1
almath - 2
almighty - 91
almon - 1
almond - 2
almonds - 2
almost - 31
alms - 31
alms-deed - 1
almsdeeds - 4
almsgiving - 1
aloes - 4
alohes - 2
alone - 165
along - 25
aloud - 9
alpha - 4
alphabet - 6
alpheus - 5
already - 54
also - 2088
altar - 425
altars - 71
alter - 4
alteration - 2
alterations - 2
altered - 8
alternate - 1
although - 41
altogether - 15
alus - 2
alva - 2
alvan - 1
always - 209
am - 909
amaad - 1
amadathi - 5
amai - 1
amain - 1
amal - 1
amalec - 43
amalech - 4
amalecite - 6
amalecites - 11
amam - 1
aman - 52
amana - 1
amaria - 3
amarias - 13
amasa - 17
amasai - 7
amasias - 40
amassai - 1
amath - 1
amathi - 2
amazed - 14
amazement - 2
ambassador - 6
ambassadors - 19
amber - 3
ambiguity - 1
ambition - 5
ambitious - 1
ambitiously - 1
ambrose - 1
ambush - 18
ambushes - 13
ambushment - 1
ambushments - 1
amelech - 3
amen - 180
amend - 2
amended - 1
amendment - 3
amends - 1
amethyst - 3
ami - 1
amiable - 5
amidst - 2
aminadab - 17
amiss - 3
amital - 3
amity - 8
amizabad - 1
amma - 1
ammaus - 1
ammiel - 5
ammihel - 1
ammisaddai - 5
ammiud - 10
ammon - 135
ammoni - 1
ammonite - 7
ammonites - 29
ammonitess - 4
ammunition - 1
amnon - 2
amoc - 2
amon - 17
amona - 1
among - 815
amongst - 51
amorous - 1
amorrhean - 1
amorrhite - 44
amorrhites - 41
amos - 35
amosa - 1
amounted - 1
amounting - 1
amphipolis - 1
ample - 2
ampliatus - 1
amram - 13
amramites - 2
amraphel - 2
amri - 23
amsi - 1
amthar - 1
an - 1448
ana - 13
anab - 2
anaharath - 1
anaia - 1
anamelech - 1
anamim - 2
anan - 1
anani - 1
anania - 1
ananias - 23
anath - 2
anathema - 27
anathoth - 17
anathothia - 1
anathothite - 4
ancestor - 1
ancestors - 8
anchor - 1
anchors - 3
ancient - 80
ancients - 211
and - 63538
anda - 1
andrew - 13
andronicus - 6
anem - 1
aner - 3
anew - 2
ange - 1
angel - 293
angels - 134
anger - 126
angered - 2
angereth - 1
anglicized - 1
angry - 163
anguish - 22
anguishes - 1
angustia - 1
ani - 2
ania - 1
aniam - 1
anim - 1
anima - 3
animal - 5
animals - 11
animosities - 1
anise - 1
ankles - 2
anna - 28
annas - 3
annexed - 1
annotation - 7
annotations - 8
annotators - 1
annoy - 1
annoyed - 2
anob - 1
anoint - 23
anointed - 113
anointedst - 1
anointeth - 2
anointing - 7
another - 628
ans - 2
answer - 186
answerable - 2
answered - 573
answeredst - 1
answerest - 5
answereth - 4
answering - 146
answers - 7
ant - 2
antecedent - 1
antecedently - 1
anti - 1
antichrist - 23
antichrists - 3
antigonus - 1
antioch - 38
antiochians - 1
antiochus - 102
antipas - 1
antipater - 2
antipatris - 1
antiquity - 1
ants - 1
anvil - 2
anxiety - 1
anxious - 3
any - 1176
anymore - 4
anyone - 5
anything - 15
anytime - 1
anywhere - 4
aod - 10
apace - 3
apadno - 2
apamea - 1
apart - 46
apartments - 1
apellas - 1
apes - 2
aphara - 1
apharsachites - 1
apharsathacites - 1
apharsites - 1
aphec - 8
apheca - 2
apherema - 2
aphia - 1
aphonite - 1
aphrah - 1
aphses - 1
aphuthites - 1
apiece - 2
apis - 1
apoc - 5
apocalypse - 27
apocalypsis - 1
apollo - 11
apollonia - 1
apollonius - 17
apollophanes - 1
apollyon - 1
apostasy - 7
apostate - 4
apostates - 1
apostatized - 1
apostle - 86
apostles - 114
apostleship - 9
apostolic - 2
apostolical - 3
apothecary - 1
apparel - 33
apparition - 2
appeal - 3
appealed - 3
appealing - 1
appeals - 2
appear - 82
appearance - 44
appeared - 127
appeareth - 14
appearing - 11
appears - 32
appease - 8
appeased - 21
appeasest - 1
appeaseth - 5
appeasing - 1
appertain - 3
appertained - 2
appertaineth - 1
appertaining - 3
appetite - 3
apphaim - 2
apphus - 1
appia - 1
appii - 1
applaud - 2
applause - 1
apple - 12
apples - 3
applicable - 5
application - 5
applied - 13
applies - 2
apply - 13
applying - 1
appoint - 37
appointed - 216
appointeth - 5
appointing - 1
appointment - 9
apprehend - 12
apprehended - 22
apprehendeth - 1
apprehending - 3
apprehension - 4
apprehensive - 1
approach - 31
approached - 7
approacheth - 6
approaching - 10
approbation - 1
approbations - 1
appropriated - 1
approve - 3
approved - 20
approves - 1
approvest - 1
approveth - 1
approving - 3
appurtenances - 2
aprons - 2
apt - 4
àpxï - 1
aqueduct - 5
aquila - 6
ar - 6
ara - 2
araas - 1
arab - 1
arabella - 1
arabia - 15
arabian - 5
arabians - 15
arach - 1
arachite - 5
aracite - 2
arad - 5
arada - 1
aradian - 2
aradus - 1
araham - 1
araia - 1
aram - 14
arama - 2
aramnaharim - 1
aran - 9
arapha - 4
ararat - 2
arari - 1
ararite - 2
arbathite - 2
arbatis - 1
arbe - 1
arbee - 2
arbi - 1
arbiters - 1
arc - 1
arch - 2
arch-persecutor - 1
archaic - 1
archangel - 2
archclaus - 1
archer - 2
archers - 11
archi - 1
archippus - 2
architect - 2
archive - 13
arcturus - 7
ardent - 1
ardently - 1
ardon - 1
are - 4212
area - 3
arebba - 1
arecon - 1
ared - 1
aree - 1
areli - 1
arem - 1
areopagite - 1
areopagus - 2
aretas - 2
areuna - 7
argob - 5
argued - 2
argues - 1
argument - 5
arguments - 1
argumentum - 1
ariarathes - 2
aridai - 1
aridatha - 1
arie - 1
ariel - 13
arielites - 1
ariels - 2
aright - 3
arimathea - 4
arioch - 6
arisai - 1
arise - 187
ariseth - 4
arising - 4
aristarchus - 5
aristobolus - 1
aristobulus - 1
arius - 3
ark - 255
arm - 87
armagedon - 2
armed - 40
armenia - 3
armenians - 1
armies - 33
armon - 2
armoni - 1
armour - 38
armourbearer - 20
armourbearers - 1
armoury - 6
armpit - 2
arms - 79
army - 416
arnan - 1
arnon - 25
arod - 2
arodi - 1
arodites - 1
aroer - 16
aromatical - 11
arorite - 3
arose - 164
around - 1
arphad - 6
arphasachites - 1
arphaxad - 14
array - 23
arrayed - 2
arraying - 1
arrive - 1
arrived - 3
arrives - 1
arrogance - 1
arrogancies - 1
arrogancy - 6
arrogant - 3
arrogantly - 2
arrow - 23
arrows - 50
arsa - 1
arsaces - 4
art - 595
artaxerxes - 24
artemas - 1
artful - 1
artfully - 2
article - 2
articles - 3
artificer - 6
artificers - 15
artificial - 1
artificially - 4
artist - 3
arts - 2
aruboth - 1
arum - 1
as - 4805
as-is - 1
asa - 65
asaa - 1
asael - 15
asahel - 2
asaia - 7
asalelphuni - 1
asan - 5
asana - 1
asaph - 47
asaramel - 1
asarela - 1
asarhaddan - 1
asarhaddon - 2
asarmoth - 2
asasonthamar - 2
asbel - 3
asbelites - 1
ascalon - 16
ascalonites - 1
ascend - 18
ascended - 16
ascendeth - 8
ascending - 10
ascends - 1
ascenez - 3
ascension - 25
ascensiones - 1
ascensions - 3
ascent - 12
ascents - 2
ascii - 2
ascribed - 2
asdrelon - 1
asebaim - 1
asedoth - 4
asel - 6
asem - 1
asemona - 3
asena - 2
asenaphar - 1
aseneth - 3
aser - 47
asergadda - 1
ash - 1
ashamed - 82
ashes - 72
ashur - 1
asia - 35
aside - 94
asiel - 1
asima - 1
asiongaber - 6
asir - 4
ask - 148
asked - 151
askest - 6
asketh - 14
asking - 11
asleep - 27
asmodeus - 1
asnaa - 1
asom - 3
asor - 19
asoth - 1
asp - 3
aspersion - 1
asphar - 1
asphenez - 1
aspires - 2
aspireth - 3
asps - 7
asrael - 1
asriel - 1
asrielites - 1
ass - 90
assault - 15
assaulted - 8
assaulteth - 1
assaulting - 4
assedim - 1
assem - 1
assemble - 24
assembled - 74
assembleth - 1
assemblies - 7
assembling - 1
assembly - 69
assented - 1
asserted - 1
asserting - 2
assertion - 2
asses - 58
asseveration - 1
assia - 1
assideans - 4
assigned - 6
assist - 17
assistance - 11
assistants - 1
assisted - 6
assisting - 2
assists - 2
associate - 2
associated - 12
associates - 3
associating - 1
asson - 1
assos - 2
assuage - 1
assuaged - 1
assuerus - 25
assumed - 2
assumption - 1
assur - 8
assurance - 4
assure - 2
assured - 12
assuredly - 9
assures - 2
assurim - 2
assyraians - 1
assyria - 22
assyrian - 26
assyrians - 151
astaroth - 13
astarothcarnaim - 1
astarothite - 1
astarthe - 2
astharoth - 1
astonish - 1
astonished - 56
astonishing - 1
astonishment - 19
astray - 34
astrologers - 2
astyages - 2
asunder - 14
asur - 1
asyncritus - 1
at - 1772
atad - 1
atara - 1
ataroth - 4
ataroth-addar - 2
ate - 64
ater - 4
athach - 4
athaias - 1
athalai - 1
athalia - 17
athalias - 1
athanai - 1
atharim - 1
athenians - 3
athenobius - 3
athens - 6
ather - 1
athersatha - 6
athmatha - 1
athor - 1
atonement - 15
atonements - 1
atoning - 2
attached - 1
attachment - 1
attack - 6
attacked - 3
attacketh - 1
attacking - 1
attacus - 1
attain - 4
attained - 9
attaining - 1
attalia - 1
attalus - 3
attempt - 5
attempted - 10
attempting - 3
attempts - 4
attend - 31
attendance - 2
attended - 6
attending - 1
attendite - 1
attention - 3
attentive - 16
attentively - 3
attestation - 1
attire - 8
attract - 1
attribute - 2
attributed - 6
attributes - 2
attributeth - 1
attributing - 2
audacious - 1
audience - 1
audite - 1
aught - 4
augment - 1
augmented - 1
augusta - 1
augustine - 10
augustus - 3
aunt - 3
auran - 2
auribul - 1
auribus - 1
ausitis - 1
austere - 2
authenticity - 1
author - 25
authored - 1
authority - 51
authorized - 2
authorizing - 1
authors - 5
autumn - 3
auxiliaries - 2
ava - 3
avah - 1
avail - 8
available - 2
availed - 1
availeth - 4
avarice - 6
avenge - 5
avenged - 3
avenger - 6
avengers - 1
avengest - 1
avenging - 2
aversion - 1
avim - 1
avith - 2
avoid - 16
avoided - 7
avoideth - 1
avoiding - 8
await - 1
awake - 26
awaked - 12
awakening - 1
awakest - 1
awaketh - 1
awaking - 3
award - 1
aware - 4
away - 1324
awe - 4
awful - 1
awl - 2
awoke - 2
ax - 1
axa - 4
axaph - 1
axe - 10
axes - 4
axioms - 1
axletree - 1
axletrees - 2
azael - 1
azahel - 1
azanias - 1
azanotthabor - 1
azareel - 3
azaria - 1
azarias - 67
azaricam - 1
azarius - 1
azau - 1
azaz - 1
azbai - 1
azboc - 1
azeca - 5
azecha - 2
azgad - 4
aziam - 1
aziaza - 1
azmaveth - 3
azmoth - 5
azor - 2
azotians - 4
azotns - 1
azotus - 31
azreel - 1
azuba - 4
azur - 3
azymes - 7
azzi - 3
b - 3
baal - 75
baal-peor - 1
baala - 4
baalam - 1
baalath - 2
baalberith - 2
baalgad - 3
baalhasor - 1
baali - 3
baalia - 1
baaliada - 1
baalim - 24
baalis - 1
baalmaon - 1
baalmeon - 1
baalpharasim - 2
baalsalisa - 1
baalthamar - 1
baana - 11
baasa - 29
babai - 1
babbler - 1
babbling - 3
babblings - 1
babe - 3
babel - 6
babes - 4
babylon - 379
babylonia - 5
babylonians - 9
babylonish - 3
bacbacar - 1
bacbuc - 2
bacchides - 26
bacchus - 3
bacenor - 1
back - 303
backbiteth - 1
backbiting - 1
backs - 17
backward - 17
backwards - 4
bad - 31
badacer - 1
badad - 2
badaias - 1
badan - 3
bade - 8
baden - 1
bag - 8
bagatha - 2
bagathan - 2
baggage - 4
bags - 4
bahurim - 5
bake - 4
baked - 10
baker - 6
bakers - 1
baking - 2
bala - 14
balaam - 50
balaan - 2
balaath - 2
balac - 31
balach - 2
baladan - 4
balan - 2
balanam - 1
balanan - 2
balance - 16
balanced - 1
balances - 7
bald - 14
baldad - 6
baldness - 8
bale - 4
bales - 2
ball - 2
balls - 2
balm - 10
baloth - 2
baltasar - 8
baltassar - 13
balthasar - 2
bamoth - 2
bamothbaal - 1
bana - 1
banaa - 2
banai - 1
banaia - 3
banaias - 36
band - 17
bands - 64
bane - 1
banea - 1
baneas - 1
bani - 10
baninu - 1
banished - 4
banisheth - 1
banishment - 3
banishments - 1
bank - 19
bankers - 1
banks - 10
banli - 1
banner - 1
bannui - 1
banquet - 19
banquet-house - 1
banqueting - 1
banquetings - 2
banquets - 7
baptism - 35
baptismal - 1
baptisms - 1
baptist - 19
baptize - 10
baptized - 62
baptizes - 1
baptizeth - 3
baptizing - 6
bar - 4
bar-jesu - 1
bar-jona - 1
bara - 2
barabbas - 11
barac - 15
barach - 1
barachel - 2
barachia - 1
barachias - 12
barad - 1
baraia - 1
barasa - 1
barbarian - 3
barbarians - 4
barbarous - 4
barbarously - 1
barber - 1
bare - 15
bared - 2
barefoot - 4
barely - 2
bargain - 1
baria - 7
bark - 6
barks - 1
barley - 41
barn - 5
barnabas - 31
barnfloor - 8
barnfloors - 2
barns - 10
baronius - 2
barred - 2
barrels - 1
barren - 40
barrenness - 6
bars - 65
barsabas - 2
barsaith - 1
bartholomew - 4
bartimeus - 1
baruch - 40
basaia - 1
basan - 57
bascama - 1
bascath - 1
base - 15
baseborn - 2
based - 2
basemath - 7
baseness - 1
bases - 19
basest - 1
bashfulness - 1
basilisk - 6
basilisks - 1
basin - 1
basins - 3
basis - 1
basket - 20
baskets - 15
bason - 1
bastard - 1
bastards - 1
bat - 2
bate - 6
bates - 7
bath - 1
bathuel - 9
bats - 1
battering - 6
battle - 199
battlement - 2
battlements - 2
battles - 25
bauramite - 1
bavai - 1
bay - 2
bazatha - 1
baziothia - 1
bdellium - 4
be - 9002
bead - 1
beads - 1
beaks - 1
beam - 12
beams - 12
bean - 1
beans - 3
bear - 188
beard - 15
beards - 6
bearer - 4
bearers - 1
bearest - 3
beareth - 24
bearing - 31
bears - 7
beast - 155
beasts - 247
beat - 47
beaten - 32
beatest - 1
beati - 3
beating - 6
beatitude - 1
beatitudes - 1
beatus - 3
beauties - 1
beautified - 2
beautiful - 112
beautifulness - 1
beautify - 1
beauty - 108
bebai - 5
became - 107
becamest - 2
because - 1803
becbecia - 3
becher - 1
becherites - 1
bechor - 4
bechorath - 1
beck - 2
beckoned - 3
beckoning - 2
become - 251
becomes - 3
becometh - 19
becoming - 5
becomingness - 1
bed - 121
bedan - 1
bedchamber - 3
beds - 14
bee - 2
beef - 2
beelmeon - 2
beelphegor - 10
beelsephon - 3
beelteem - 4
beelzebub - 13
been - 729
beer - 1
beera - 1
beeri - 2
bees - 3
beeves - 3
befall - 13
befallen - 12
befalleth - 1
befalls - 1
befel - 1
befell - 1
before - 2050
beforehand - 6
beg - 9
began - 246
begannest - 1
beget - 11
begettest - 1
begetteth - 1
beggar - 6
beggary - 2
begged - 5
begging - 6
begin - 61
beginneth - 3
beginning - 218
beginnings - 5
begins - 7
begoai - 1
begoia - 1
begone - 2
begot - 229
begotten - 29
begs - 2
beguai - 3
begui - 1
beguile - 1
begun - 38
behalf - 10
behave - 12
behaved - 9
behaviour - 5
beheaded - 6
beheld - 46
behema - 1
behemoth - 3
behind - 83
behold - 1125
beholder - 1
beholdest - 1
beholdeth - 11
beholding - 15
behoved - 3
behoveth - 3
being - 823
beings - 2
bel - 23
bela - 7
belaites - 1
belga - 3
belgia - 1
belial - 16
belief - 17
belieth - 1
believe - 181
believed - 120
believers - 4
believest - 7
believeth - 43
believing - 20
bell - 3
bellies - 2
bellowed - 1
bellowing - 1
bellows - 1
bells - 3
belly - 47
belma - 1
belong - 30
belonged - 21
belongeth - 17
belonging - 6
belongs - 2
beloved - 141
below - 13
belsam - 1
belsan - 1
belt - 3
belteshazzar - 1
belus - 1
bemoan - 3
bemoaned - 1
bemoans - 1
ben - 1
benabinadab - 1
benadad - 27
benches - 1
bend - 12
bendecar - 1
bendeth - 6
bending - 8
beneath - 27
benedic - 2
benedicam - 1
benedicite - 1
benedict - 1
benediction - 7
benedictus - 1
benedixisti - 1
benefactions - 1
beneficent - 2
beneficial - 1
benefit - 10
benefited - 3
benefits - 26
benejaacan - 2
benennom - 2
benevolence - 1
benevolent - 1
bengaber - 1
benhail - 1
benhesed - 1
benhur - 1
benignity - 3
benjamin - 182
benjamites - 1
benni - 1
benno - 1
bennui - 5
benoi - 1
benoni - 1
bent - 18
benzoheth - 1
beon - 1
beor - 10
bera - 2
beracha - 1
bercos - 2
berea - 5
bereans - 1
bereaved - 1
berenice - 1
beresith - 1
beri - 1
beria - 4
berith - 1
bernice - 3
berodach - 1
beromi - 1
beroth - 7
berotha - 1
berothite - 5
berothites - 1
berries - 1
bersa - 1
bersabee - 32
beryl - 4
berzellai - 12
besai - 4
besecath - 1
besee - 1
beseech - 142
beseeched - 1
beseeches - 1
beseeching - 10
beseeming - 1
beseiged - 1
beselam - 1
beseleel - 10
beset - 10
besetteth - 1
besetting - 1
beside - 54
besides - 100
besiege - 15
besieged - 45
besiegers - 1
besieges - 2
besiegeth - 1
besieging - 11
besloth - 1
besluth - 1
besodia - 1
besom - 1
besor - 3
besought - 52
besoughtest - 1
bespeaking - 1
besseth - 1
bessur - 1
best - 60
bestow - 6
bestowed - 14
betaking - 1
bete - 1
beten - 1
beth - 8
beth-araba - 1
beth-hagla - 1
beth-horon - 11
bethacarem - 1
bethacharam - 1
bethanan - 1
bethanath - 2
bethania - 12
bethanites - 1
bethanoth - 1
betharaba - 2
betharan - 2
bethaven - 10
bethazmoth - 1
bethbera - 2
bethberai - 1
bethbessen - 3
bethchar - 1
bethdagon - 3
bethel - 84
bethemec - 1
bether - 1
bethgader - 1
bethgamul - 1
bethhagla - 2
bethhoron - 1
bethia - 1
bethiesimoth - 2
bethlebaoth - 1
bethlehem - 54
bethlehemite - 4
bethmaacha - 3
bethmaon - 1
bethmarchaboth - 2
bethnemra - 2
bethoron - 9
bethphage - 2
bethphaleth - 1
bethphelet - 1
bethpheses - 1
bethphogor - 1
bethrapha - 1
bethsabee - 14
bethsaida - 8
bethsames - 20
bethsamite - 2
bethsamites - 2
bethsan - 13
bethsetta - 1
bethsimoth - 2
bethsur - 3
bethsura - 15
beththaphua - 1
bethul - 1
bethulia - 15
bethzacharam - 2
bethzecha - 1
betimes - 3
betonim - 1
betook - 1
betray - 23
betrayed - 23
betrayer - 1
betrayers - 1
betrayeth - 1
betraying - 2
betrays - 1
betrothed - 3
better - 182
between - 248
betwixt - 3
bewail - 6
bewailed - 6
bewailing - 2
beware - 54
bewitched - 2
bewitching - 1
beyond - 116
bezec - 3
bezeleel - 1
bezocher - 1
bible - 11
bibles - 5
bid - 15
bidden - 1
bidding - 3
bids - 1
bier - 2
big - 2
bigness - 1
bill - 9
billows - 2
binary - 1
bind - 34
bindeth - 5
binding - 10
bird - 29
birds - 66
birth - 33
birthday - 4
birthright - 13
birthrights - 1
bishop - 15
bishopric - 2
bishops - 7
bit - 5
bite - 13
bites - 1
biteth - 1
bithynia - 2
biting - 1
bitings - 2
bits - 1
bitten - 2
bitter - 45
bitterly - 10
bittern - 4
bitterness - 44
bituminis - 1
black - 18
blacker - 1
blackness - 1
blacks - 1
blade - 4
blains - 2
blame - 11
blamed - 9
blameless - 16
blames - 3
blameth - 3
blameworthy - 1
blanket - 1
blaspheme - 16
blasphemed - 29
blasphemer - 3
blasphemers - 3
blasphemest - 1
blasphemeth - 6
blasphemies - 14
blaspheming - 6
blasphemous - 2
blasphemy - 28
blast - 8
blasted - 4
blasting - 4
blastus - 1
blaze - 1
blear - 1
blear-eyed - 1
bleating - 3
bleatings - 1
bleed - 1
blemish - 74
bless - 182
blessed - 413
blessedness - 3
blesses - 1
blessest - 2
blesseth - 10
blessing - 130
blessings - 43
